id,id_products_foreign,id_other_sellers_foreign,product_id
810405ad-4ce7-4509-b338-207b2bd63c65,4256e680-d9ed-11eb-9b62-75e90d563919,4256e681-d9ed-11eb-9b62-75e90d563919,1
22b46874-3059-4cc4-945f-48e5157e9ef0,42570d94-d9ed-11eb-9b62-75e90d563919,42570d95-d9ed-11eb-9b62-75e90d563919,2
1e77342d-1d6d-4342-9f0c-c75a4e3b1e30,42570d9f-d9ed-11eb-9b62-75e90d563919,42570da0-d9ed-11eb-9b62-75e90d563919,4
b023224e-b4ba-4ae0-8da5-36cfedc0bf48,42570d9f-d9ed-11eb-9b62-75e90d563919,42570da1-d9ed-11eb-9b62-75e90d563919,4
8af66b41-0dec-4ce0-9e3b-fe099e32e19a,42570d9f-d9ed-11eb-9b62-75e90d563919,42570da2-d9ed-11eb-9b62-75e90d563919,4
eecf8e1e-32f5-45ac-bd6c-7f3ed5a69fd6,42570d9f-d9ed-11eb-9b62-75e90d563919,425734a0-d9ed-11eb-9b62-75e90d563919,4
d1a34e31-6414-43c0-bc97-826377a80d7b,42570d9f-d9ed-11eb-9b62-75e90d563919,425734a1-d9ed-11eb-9b62-75e90d563919,4
ef4a9e69-34ff-437d-bd70-1267464981d0,425734a6-d9ed-11eb-9b62-75e90d563919,425734a7-d9ed-11eb-9b62-75e90d563919,5
f8239cb6-790e-4b9c-b6e3-31a138644f2c,425734a6-d9ed-11eb-9b62-75e90d563919,425734a8-d9ed-11eb-9b62-75e90d563919,5
34a45949-2f04-41fc-be5e-4f7781eeacf1,425734a6-d9ed-11eb-9b62-75e90d563919,425734a9-d9ed-11eb-9b62-75e90d563919,5
b0b6e4c0-1dfc-4459-bf27-1af48bbdc7cd,425734a6-d9ed-11eb-9b62-75e90d563919,425734aa-d9ed-11eb-9b62-75e90d563919,5
8607f0d5-dbff-48c4-8262-530f2189aa06,425734a6-d9ed-11eb-9b62-75e90d563919,425734ab-d9ed-11eb-9b62-75e90d563919,5
da1f82be-a1d6-41df-8122-71c69f14b82a,425734b0-d9ed-11eb-9b62-75e90d563919,425734b1-d9ed-11eb-9b62-75e90d563919,6
0ae9b258-6ca5-4c52-8901-d1f5f51cea07,425734b0-d9ed-11eb-9b62-75e90d563919,425734b2-d9ed-11eb-9b62-75e90d563919,6
42289cc6-2c2f-4998-8abe-9a8e9de36921,425734b0-d9ed-11eb-9b62-75e90d563919,425734b3-d9ed-11eb-9b62-75e90d563919,6
9f12c1bf-6c84-49ce-aba0-54e81c44379f,425734b0-d9ed-11eb-9b62-75e90d563919,425734b4-d9ed-11eb-9b62-75e90d563919,6
9d9de045-f1c1-45bb-aafe-769ba903219f,425734b0-d9ed-11eb-9b62-75e90d563919,425734b5-d9ed-11eb-9b62-75e90d563919,6
cd05b713-318a-4b66-a762-77bb484e6abb,425734ba-d9ed-11eb-9b62-75e90d563919,425734bb-d9ed-11eb-9b62-75e90d563919,7
2a090489-bd3f-492a-b6ce-d3ee74e4c574,425734ba-d9ed-11eb-9b62-75e90d563919,425734bc-d9ed-11eb-9b62-75e90d563919,7
31fb61b6-b443-4c6b-9f83-7313879c42c2,425734ba-d9ed-11eb-9b62-75e90d563919,425734bd-d9ed-11eb-9b62-75e90d563919,7
0ecd3e5f-a40d-4f92-9d73-8c823d01a2ab,425734ba-d9ed-11eb-9b62-75e90d563919,425734be-d9ed-11eb-9b62-75e90d563919,7
1cc9d1a8-6aab-47fd-8e43-0ce5c071c612,425734ba-d9ed-11eb-9b62-75e90d563919,425734bf-d9ed-11eb-9b62-75e90d563919,7
5471cfe2-59de-4fdd-a1a3-adafbb5505a8,42575bb3-d9ed-11eb-9b62-75e90d563919,42575bb4-d9ed-11eb-9b62-75e90d563919,9
57cda939-4b52-42c1-afe8-e8fa4935c24b,42575bb3-d9ed-11eb-9b62-75e90d563919,42575bb5-d9ed-11eb-9b62-75e90d563919,9
3515d76c-9592-4687-a890-c5d0d652c18b,42575bb3-d9ed-11eb-9b62-75e90d563919,42575bb6-d9ed-11eb-9b62-75e90d563919,9
95077348-8821-40a4-bcd0-22ec45613e03,42575bb3-d9ed-11eb-9b62-75e90d563919,42575bb7-d9ed-11eb-9b62-75e90d563919,9
d97e3f3c-1bac-424d-b520-81994384062b,42575bbc-d9ed-11eb-9b62-75e90d563919,42575bbd-d9ed-11eb-9b62-75e90d563919,10
0a8b2eec-64f4-45f4-bb84-c26aad48bd55,42575bbc-d9ed-11eb-9b62-75e90d563919,42575bbe-d9ed-11eb-9b62-75e90d563919,10
cea0b78b-2b36-4cd1-a59b-287970eb8438,42575bbc-d9ed-11eb-9b62-75e90d563919,4257d0e0-d9ed-11eb-9b62-75e90d563919,10
fb355d61-3695-46fd-9a10-a7b1853d7c92,42575bbc-d9ed-11eb-9b62-75e90d563919,4257d0e1-d9ed-11eb-9b62-75e90d563919,10
2a0314f9-c709-4ef4-a9f5-40a4aa35aa68,42575bbc-d9ed-11eb-9b62-75e90d563919,4257d0e2-d9ed-11eb-9b62-75e90d563919,10
d21b9ced-9d34-44d4-87e7-94b131eece5c,42575bbc-d9ed-11eb-9b62-75e90d563919,4257d0e3-d9ed-11eb-9b62-75e90d563919,10
83158dae-f3c2-4c4d-82c2-683066fd631b,4257f7f0-d9ed-11eb-9b62-75e90d563919,4257f7f1-d9ed-11eb-9b62-75e90d563919,11
149c228e-d143-4b04-b81c-765161b5dd93,4257f7f6-d9ed-11eb-9b62-75e90d563919,4257f7f7-d9ed-11eb-9b62-75e90d563919,12
7061ce58-adb0-406b-a845-10a43e298511,4257f7f6-d9ed-11eb-9b62-75e90d563919,4257f7f8-d9ed-11eb-9b62-75e90d563919,12
4569da55-942e-4eb5-9d78-a45d00624b09,4257f7f6-d9ed-11eb-9b62-75e90d563919,4257f7f9-d9ed-11eb-9b62-75e90d563919,12
c0d97771-86e6-4889-b9f8-5bcc2a2eae1b,4257f7f6-d9ed-11eb-9b62-75e90d563919,4257f7fa-d9ed-11eb-9b62-75e90d563919,12
5b549790-28f5-429c-94f7-379d944bdea2,4257f7f6-d9ed-11eb-9b62-75e90d563919,4258bb40-d9ed-11eb-9b62-75e90d563919,12
1e881f6b-8159-498d-9caa-b96e6e1c11ee,4257f7f6-d9ed-11eb-9b62-75e90d563919,4258bb41-d9ed-11eb-9b62-75e90d563919,12
4033ee5b-4988-4c1f-bb14-30037a197ca1,4258e250-d9ed-11eb-9b62-75e90d563919,4258e251-d9ed-11eb-9b62-75e90d563919,13
f3b3727d-b478-44e5-bc08-692190be08d7,4258e250-d9ed-11eb-9b62-75e90d563919,4258e252-d9ed-11eb-9b62-75e90d563919,13
14752194-2b36-4f7b-b8fb-f7b60a41574f,4258e250-d9ed-11eb-9b62-75e90d563919,4258e253-d9ed-11eb-9b62-75e90d563919,13
