seller_id,discs,price,newfrom,usedfrom,edition,form,release_date
6a5c3790-d86f-11eb-98ef-e5032a991d95,12,37,12,20,,Blu-ray,Wed Aug 05 2020 12:36:08 GMT-0700 (Pacific Daylight Time)
6a5c3790-d86f-11eb-98ef-e5032a991d95,12,37,12,20,,Blu-ray,Wed Aug 05 2020 12:36:08 GMT-0700 (Pacific Daylight Time)
6a5c5ea0-d86f-11eb-98ef-e5032a991d95,45,10,19,5,,4K,Tue Mar 23 2021 10:54:06 GMT-0700 (Pacific Daylight Time)
6a5c5ea0-d86f-11eb-98ef-e5032a991d95,45,10,19,5,,4K,Tue Mar 23 2021 10:54:06 GMT-0700 (Pacific Daylight Time)
6a5c5ea1-d86f-11eb-98ef-e5032a991d95,41,6,6,31,Limited Collector's Edition,DVD,Sat Oct 10 2020 21:01:42 GMT-0700 (Pacific Daylight Time)
6a5c5ea1-d86f-11eb-98ef-e5032a991d95,41,6,6,31,Limited Collector's Edition,DVD,Sat Oct 10 2020 21:01:42 GMT-0700 (Pacific Daylight Time)
6a5c5ea2-d86f-11eb-98ef-e5032a991d95,23,9,28,3,Collector's Edition,Prime Video,Mon Oct 26 2020 01:39:13 GMT-0700 (Pacific Daylight Time)
6a5c5ea2-d86f-11eb-98ef-e5032a991d95,23,9,28,3,Collector's Edition,Prime Video,Mon Oct 26 2020 01:39:13 GMT-0700 (Pacific Daylight Time)
6a5c5ea3-d86f-11eb-98ef-e5032a991d95,34,31,9,6,Collector's Edition,Blu-ray,Mon Jan 18 2021 20:53:31 GMT-0800 (Pacific Standard Time)
6a5c5ea3-d86f-11eb-98ef-e5032a991d95,34,31,9,6,Collector's Edition,Blu-ray,Mon Jan 18 2021 20:53:31 GMT-0800 (Pacific Standard Time)
6a5c5ea4-d86f-11eb-98ef-e5032a991d95,13,38,35,25,Collector's Edition,Blu-ray,Thu Oct 22 2020 07:47:13 GMT-0700 (Pacific Daylight Time)
6a5c5ea4-d86f-11eb-98ef-e5032a991d95,13,38,35,25,Collector's Edition,Blu-ray,Thu Oct 22 2020 07:47:13 GMT-0700 (Pacific Daylight Time)
6a5c5ea5-d86f-11eb-98ef-e5032a991d95,14,41,24,3,,Blu-ray,Sun May 02 2021 17:27:20 GMT-0700 (Pacific Daylight Time)
6a5c5ea5-d86f-11eb-98ef-e5032a991d95,14,41,24,3,,Blu-ray,Sun May 02 2021 17:27:20 GMT-0700 (Pacific Daylight Time)
6a5c5ea6-d86f-11eb-98ef-e5032a991d95,24,25,25,17,Special Edition,DVD,Sat Sep 12 2020 09:40:55 GMT-0700 (Pacific Daylight Time)
6a5c5ea6-d86f-11eb-98ef-e5032a991d95,24,25,25,17,Special Edition,DVD,Sat Sep 12 2020 09:40:55 GMT-0700 (Pacific Daylight Time)
6a5c5ea7-d86f-11eb-98ef-e5032a991d95,22,29,9,28,Special Extended Version,Blu-ray,Mon Dec 21 2020 20:51:51 GMT-0800 (Pacific Standard Time)
6a5c5ea7-d86f-11eb-98ef-e5032a991d95,22,29,9,28,Special Extended Version,Blu-ray,Mon Dec 21 2020 20:51:51 GMT-0800 (Pacific Standard Time)
6a5c5ea8-d86f-11eb-98ef-e5032a991d95,6,15,36,19,Collector's Edition,4K,Wed Jan 13 2021 22:56:28 GMT-0800 (Pacific Standard Time)
6a5c5ea8-d86f-11eb-98ef-e5032a991d95,6,15,36,19,Collector's Edition,4K,Wed Jan 13 2021 22:56:28 GMT-0800 (Pacific Standard Time)
6a5c5ea9-d86f-11eb-98ef-e5032a991d95,49,8,13,14,Collector's Edition,DVD,Sun Oct 04 2020 19:12:27 GMT-0700 (Pacific Daylight Time)
6a5c5ea9-d86f-11eb-98ef-e5032a991d95,49,8,13,14,Collector's Edition,DVD,Sun Oct 04 2020 19:12:27 GMT-0700 (Pacific Daylight Time)
6a5c5eaa-d86f-11eb-98ef-e5032a991d95,34,6,39,26,Limited Edition,DVD,Mon Feb 22 2021 17:39:48 GMT-0800 (Pacific Standard Time)
6a5c5eaa-d86f-11eb-98ef-e5032a991d95,34,6,39,26,Limited Edition,DVD,Mon Feb 22 2021 17:39:48 GMT-0800 (Pacific Standard Time)
6a5c5eab-d86f-11eb-98ef-e5032a991d95,9,33,39,16,Collector's Edition,DVD,Tue Jan 05 2021 07:01:47 GMT-0800 (Pacific Standard Time)
6a5c5eab-d86f-11eb-98ef-e5032a991d95,9,33,39,16,Collector's Edition,DVD,Tue Jan 05 2021 07:01:47 GMT-0800 (Pacific Standard Time)
6a5c5eac-d86f-11eb-98ef-e5032a991d95,0,29,27,29,Collector's Edition,4K,Fri May 07 2021 16:47:24 GMT-0700 (Pacific Daylight Time)
6a5c5eac-d86f-11eb-98ef-e5032a991d95,0,29,27,29,Collector's Edition,4K,Fri May 07 2021 16:47:24 GMT-0700 (Pacific Daylight Time)
6a5c5ead-d86f-11eb-98ef-e5032a991d95,39,11,23,4,Special Edition,Blu-ray,Thu Aug 20 2020 22:04:20 GMT-0700 (Pacific Daylight Time)
6a5c5ead-d86f-11eb-98ef-e5032a991d95,39,11,23,4,Special Edition,Blu-ray,Thu Aug 20 2020 22:04:20 GMT-0700 (Pacific Daylight Time)
6a5c5eae-d86f-11eb-98ef-e5032a991d95,47,40,28,17,Collector's Edition,Prime Video,Mon Apr 05 2021 17:11:47 GMT-0700 (Pacific Daylight Time)
6a5c5eae-d86f-11eb-98ef-e5032a991d95,47,40,28,17,Collector's Edition,Prime Video,Mon Apr 05 2021 17:11:47 GMT-0700 (Pacific Daylight Time)
6a5c5eaf-d86f-11eb-98ef-e5032a991d95,38,17,38,5,Collector's Edition,DVD,Fri Jun 18 2021 03:44:07 GMT-0700 (Pacific Daylight Time)
6a5c5eaf-d86f-11eb-98ef-e5032a991d95,38,17,38,5,Collector's Edition,DVD,Fri Jun 18 2021 03:44:07 GMT-0700 (Pacific Daylight Time)
6a5c5eb0-d86f-11eb-98ef-e5032a991d95,48,10,7,8,Limited Collector's Edition,4K,Sat Mar 13 2021 01:45:43 GMT-0800 (Pacific Standard Time)
6a5c5eb0-d86f-11eb-98ef-e5032a991d95,48,10,7,8,Limited Collector's Edition,4K,Sat Mar 13 2021 01:45:43 GMT-0800 (Pacific Standard Time)
6a5c5eb1-d86f-11eb-98ef-e5032a991d95,14,23,9,3,Limited Edition,Prime Video,Mon Mar 29 2021 16:36:41 GMT-0700 (Pacific Daylight Time)
6a5c5eb1-d86f-11eb-98ef-e5032a991d95,14,23,9,3,Limited Edition,Prime Video,Mon Mar 29 2021 16:36:41 GMT-0700 (Pacific Daylight Time)
6a5c5eb2-d86f-11eb-98ef-e5032a991d95,21,7,31,9,Special Extended Version,Blu-ray,Mon Nov 16 2020 04:04:47 GMT-0800 (Pacific Standard Time)
6a5c5eb2-d86f-11eb-98ef-e5032a991d95,21,7,31,9,Special Extended Version,Blu-ray,Mon Nov 16 2020 04:04:47 GMT-0800 (Pacific Standard Time)
6a5c5eb3-d86f-11eb-98ef-e5032a991d95,11,31,31,16,Special Extended Version,DVD,Wed Jul 22 2020 17:22:42 GMT-0700 (Pacific Daylight Time)
6a5c5eb3-d86f-11eb-98ef-e5032a991d95,11,31,31,16,Special Extended Version,DVD,Wed Jul 22 2020 17:22:42 GMT-0700 (Pacific Daylight Time)
6a5c5eb4-d86f-11eb-98ef-e5032a991d95,38,16,38,26,Limited Collector's Edition,DVD,Mon Jun 21 2021 00:29:45 GMT-0700 (Pacific Daylight Time)
6a5c5eb4-d86f-11eb-98ef-e5032a991d95,38,16,38,26,Limited Collector's Edition,DVD,Mon Jun 21 2021 00:29:45 GMT-0700 (Pacific Daylight Time)
6a5c5eb5-d86f-11eb-98ef-e5032a991d95,43,21,25,10,,Prime Video,Thu Dec 24 2020 11:02:59 GMT-0800 (Pacific Standard Time)
6a5c5eb5-d86f-11eb-98ef-e5032a991d95,43,21,25,10,,Prime Video,Thu Dec 24 2020 11:02:59 GMT-0800 (Pacific Standard Time)
6a5c5eb6-d86f-11eb-98ef-e5032a991d95,16,30,24,12,Limited Collector's Edition,DVD,Fri Jul 24 2020 19:29:29 GMT-0700 (Pacific Daylight Time)
6a5c5eb6-d86f-11eb-98ef-e5032a991d95,16,30,24,12,Limited Collector's Edition,DVD,Fri Jul 24 2020 19:29:29 GMT-0700 (Pacific Daylight Time)
6a5c5eb7-d86f-11eb-98ef-e5032a991d95,26,26,35,6,Limited Collector's Edition,Prime Video,Thu Apr 08 2021 23:49:36 GMT-0700 (Pacific Daylight Time)
6a5c5eb7-d86f-11eb-98ef-e5032a991d95,26,26,35,6,Limited Collector's Edition,Prime Video,Thu Apr 08 2021 23:49:36 GMT-0700 (Pacific Daylight Time)
6a5c5eb8-d86f-11eb-98ef-e5032a991d95,34,14,5,13,Limited Collector's Edition,4K,Wed Sep 02 2020 15:30:13 GMT-0700 (Pacific Daylight Time)
6a5c5eb8-d86f-11eb-98ef-e5032a991d95,34,14,5,13,Limited Collector's Edition,4K,Wed Sep 02 2020 15:30:13 GMT-0700 (Pacific Daylight Time)
6a5c5eb9-d86f-11eb-98ef-e5032a991d95,16,36,37,20,Collector's Edition,Prime Video,Sat Jan 23 2021 20:27:49 GMT-0800 (Pacific Standard Time)
6a5c5eb9-d86f-11eb-98ef-e5032a991d95,16,36,37,20,Collector's Edition,Prime Video,Sat Jan 23 2021 20:27:49 GMT-0800 (Pacific Standard Time)
6a5c5eba-d86f-11eb-98ef-e5032a991d95,42,8,15,26,Limited Edition,Prime Video,Tue Jun 01 2021 08:29:05 GMT-0700 (Pacific Daylight Time)
6a5c5eba-d86f-11eb-98ef-e5032a991d95,42,8,15,26,Limited Edition,Prime Video,Tue Jun 01 2021 08:29:05 GMT-0700 (Pacific Daylight Time)
6a5c5ebb-d86f-11eb-98ef-e5032a991d95,35,19,33,12,Special Extended Version,4K,Mon Mar 08 2021 20:27:50 GMT-0800 (Pacific Standard Time)
6a5c5ebb-d86f-11eb-98ef-e5032a991d95,35,19,33,12,Special Extended Version,4K,Mon Mar 08 2021 20:27:50 GMT-0800 (Pacific Standard Time)
6a5c5ebc-d86f-11eb-98ef-e5032a991d95,49,31,15,27,Special Edition,4K,Mon Apr 26 2021 03:02:07 GMT-0700 (Pacific Daylight Time)
6a5c5ebc-d86f-11eb-98ef-e5032a991d95,49,31,15,27,Special Edition,4K,Mon Apr 26 2021 03:02:07 GMT-0700 (Pacific Daylight Time)
6a5c5ebd-d86f-11eb-98ef-e5032a991d95,16,12,25,31,Special Edition,Blu-ray,Sun Aug 23 2020 07:10:05 GMT-0700 (Pacific Daylight Time)
6a5c5ebd-d86f-11eb-98ef-e5032a991d95,16,12,25,31,Special Edition,Blu-ray,Sun Aug 23 2020 07:10:05 GMT-0700 (Pacific Daylight Time)
